price,quantity,true_label,pred_label,prob_normal,prob_bulking,prob_event,correct
431,496,event,event,0.0001973101997644953,6.80642181323908e-06,0.9997958833784223,True
9,652,bulking,bulking,4.433378411889829e-05,0.9974276829192835,0.00252798329659756,True
6,875,bulking,bulking,9.434820869614197e-07,0.9976847168908414,0.0023143396270717135,True
19,490,bulking,bulking,0.0035093627436835343,0.9899063048328746,0.006584332423441923,True
252,949,event,event,2.79169006141411e-07,0.0016050760976929262,0.998394644733301,True
18,848,bulking,bulking,1.8973406851818628e-06,0.9954318894826589,0.004566213176655807,True
468,558,event,event,7.484164758563999e-05,4.101101503573583e-06,0.9999210572509107,True
14,21,normal,normal,0.9974848875437317,0.002459908118073266,5.520433819524521e-05,True
44,35,normal,normal,0.9986368297171615,0.0012275729158522902,0.0001355973669863409,True
426,902,event,event,3.0415194195641056e-07,1.1722623386013144e-05,0.999987973224672,True
46,32,normal,normal,0.9987852539930607,0.0010780174771761759,0.0001367285297630975,True
396,540,event,event,7.294453813740553e-05,1.0265381717754482e-05,0.9999167900801449,True
336,762,event,event,1.927860298233938e-06,4.238875412681859e-05,0.999955683385575,True
90,46,normal,normal,0.9987066319701358,0.0005049489701434005,0.0007884190597208414,True
11,23,normal,normal,0.9971020511724705,0.0028444011720515036,5.354765547805503e-05,True
45,37,normal,normal,0.9986167677551069,0.0012401868806827413,0.0001430453642104582,True
73,24,normal,normal,0.9993170415174342,0.0004177197838407794,0.0002652386987250908,True
270,653,event,event,8.003690375515534e-06,0.00010673834996305695,0.9998852579596613,True
17,836,bulking,bulking,2.2004659310391466e-06,0.9956955352786826,0.0043022642553862634,True
71,64,normal,normal,0.9981995823795834,0.0011693097956937252,0.0006311078247226978,True
10,678,bulking,bulking,2.4899197348742203e-05,0.9973382815361271,0.0026368192665241147,True
18,44,normal,normal,0.9964354026223057,0.0034849282503118966,7.96691273824213e-05,True
20,772,bulking,bulking,6.0054282467919355e-06,0.9949004378966567,0.005093556675096322,True
14,457,bulking,bulking,0.007000655605973757,0.9879126228760129,0.00508672151801327,True
7,622,bulking,bulking,8.91875474638812e-05,0.9975604370251302,0.00235037542740614,True
333,801,event,event,1.1805449938005423e-06,5.286598855828641e-05,0.9999459534664478,True
398,809,event,event,1.018939191885628e-06,1.4208641724112145e-05,0.999984772419084,True
267,989,event,event,1.7816143054632926e-07,0.0014976839230278094,0.9985021379155417,True
5,428,bulking,bulking,0.011330927957132008,0.9856313177523893,0.0030377542904788104,True
6,474,bulking,bulking,0.003646385570828007,0.9934026071442863,0.0029510072848856848,True
95,58,normal,normal,0.9981601662611028,0.0006008321508571448,0.001239001588040187,True
267,593,event,event,1.7112782369224844e-05,8.897186172726477e-05,0.9998939153559034,True
171,790,event,event,6.912581205649113e-06,0.018883604992935253,0.9811094824258592,True
10,18,normal,normal,0.9973001196022744,0.0026504308843432493,4.944951338242721e-05,True
14,450,bulking,bulking,0.008345119746022273,0.9865034098205967,0.005151470433381006,True
24,43,normal,normal,0.9971047081688009,0.0028038253043542456,9.14665268449699e-05,True
232,874,event,event,6.404161706368108e-07,0.0014597140966863765,0.998539645487143,True
23,7,normal,normal,0.9986008701079746,0.0013443189530846819,5.481093894062782e-05,True
19,676,bulking,bulking,3.191008053372274e-05,0.9954131280989167,0.004554961820549564,True
71,77,normal,normal,0.9975149595701912,0.0016333970292794068,0.000851643400529376,True
329,810,event,event,1.0566953447789396e-06,5.9575722867640296e-05,0.9999393675817876,True
484,995,event,event,8.661221130915067e-08,5.280362964192988e-06,0.9999946330248245,True
260,477,event,event,0.0002563798777183253,0.00011141951675318622,0.9996322006055286,True
7,638,bulking,bulking,5.9953060724522e-05,0.9976405814520064,0.0022994654872690932,True
62,93,normal,normal,0.9959441118544041,0.0031639768626562587,0.0008919112829395109,True
12,521,bulking,bulking,0.001318825261201462,0.9947227499690268,0.003958424769771936,True
20,440,bulking,bulking,0.012660556559489309,0.9796541646038708,0.007685278836639877,True
7,883,bulking,bulking,8.609868117216759e-07,0.9975455541528898,0.0024535848602986114,True
62,5,normal,normal,0.9994979559357308,0.0003623019420206588,0.00013974212224844974,True
14,612,bulking,bulking,0.00013984077233979823,0.9961047189757678,0.003755440251892223,True
17,856,bulking,bulking,1.6467325369672872e-06,0.9956876794676287,0.004310673799834506,True
19,895,bulking,bulking,9.73269384622646e-07,0.9951349766171096,0.0048640501135057655,True
71,36,normal,normal,0.9990989662183087,0.0005709377028356549,0.00033009607885556877,True
153,823,event,event,6.997336781152151e-06,0.06361467142037325,0.9363783312428455,True
183,630,event,event,5.67190708696254e-05,0.005087975768052391,0.994855305161078,True
180,834,event,event,2.6552892952911774e-06,0.012510660425012721,0.987486684285692,True
406,556,event,event,5.659743749554329e-05,8.825373280899605e-06,0.9999345771892236,True
12,550,bulking,bulking,0.0006337816814582427,0.9956286285359705,0.003737589782571261,True
329,578,event,event,2.6568614694698168e-05,2.491510435942718e-05,0.9999485162809459,True
60,61,normal,normal,0.9981327536785621,0.0014699693160594813,0.00039727700537838217,True
466,978,event,event,1.100877735694315e-07,7.0985555692817115e-06,0.9999927913566571,True
452,691,event,event,5.715829977870115e-06,4.427114702270512e-06,0.9999898570553198,True
80,61,normal,normal,0.9983403002936039,0.0008523446683037772,0.0008073550380924599,True
319,597,event,event,1.7965170970236427e-05,3.160875977633567e-05,0.9999504260692536,True
250,746,event,event,2.692035673152927e-06,0.0003065672612897376,0.9996907407030371,True
5,532,bulking,bulking,0.0008197072154257002,0.9967099450542358,0.0024703477303385057,True
30,36,normal,normal,0.9979204755886069,0.001983028256673307,9.649615471989975e-05,True
20,548,bulking,bulking,0.0008348604352910567,0.992896504597599,0.006268634967109877,True
244,441,event,event,0.0008004970744285384,0.00019577752807523952,0.9990037253974963,True
68,99,normal,normal,0.9956067830898763,0.003123845491258442,0.0012693714188654179,True
18,899,bulking,bulking,8.931659998149324e-07,0.995408771789138,0.004590335044862264,True
33,49,normal,normal,0.997498839609662,0.0023761519292048038,0.0001250084611331824,True
14,484,bulking,bulking,0.003548916577711618,0.9916151188912645,0.0048359645310237665,True
356,539,event,event,6.18477765700288e-05,1.773002997225339e-05,0.9999204221934578,True
196,688,event,event,1.540789374716759e-05,0.002733887017711324,0.9972507050885415,True
20,577,bulking,bulking,0.0004011564944529626,0.9936806420895522,0.005918201415994807,True
18,516,bulking,bulking,0.001771169549029521,0.9923556231176359,0.005873207333334722,True
95,73,normal,normal,0.9974010230271548,0.0008278856228899447,0.0017710913499550882,True
54,84,normal,normal,0.9963194288695643,0.003136196012432231,0.0005443751180036464,True
16,504,bulking,bulking,0.002266877103066861,0.9924439626750696,0.005289160221863536,True
49,76,normal,normal,0.9966872403820056,0.002934221982183904,0.00037853763581048474,True
485,1000,event,event,8.119375369915906e-08,5.280916409782499e-06,0.9999946378898366,True
6,965,bulking,bulking,2.882233798148485e-07,0.997298708125972,0.0027010036506480164,True
14,768,bulking,bulking,5.456480793789073e-06,0.9964075978900748,0.0035869456291312894,True
242,422,event,event,0.0012957851612367239,0.00021092055602987822,0.9984932942827334,True
21,55,normal,normal,0.9959001504120851,0.003999525082892789,0.00010032450502193222,True
69,74,normal,normal,0.9976614480626886,0.0015986933566463663,0.0007398585806651174,True
13,52,normal,normal,0.9950406679063447,0.004880119074223367,7.921301943184942e-05,True
17,25,normal,normal,0.9975255760635202,0.002413167854672425,6.125608180746485e-05,True
14,564,bulking,bulking,0.00047068868526081915,0.9953962589857741,0.004133052328965166,True
255,717,event,event,3.7175885841611314e-06,0.0002097031259861097,0.9997865792854298,True
80,37,normal,normal,0.9990522193220079,0.0004914265344986876,0.0004563541434934371,True
