price,quantity,label
20,566,bulking
443,532,event
311,840,event
66,51,normal
62,86,normal
363,595,event
48,23,normal
35,97,normal
11,567,bulking
72,24,normal
5,738,bulking
211,574,event
282,847,event
200,635,event
11,482,bulking
7,422,bulking
430,695,event
13,747,bulking
19,569,bulking
382,899,event
365,422,event
15,6,normal
16,783,bulking
455,425,event
20,726,bulking
154,503,event
20,957,bulking
356,494,event
72,57,normal
57,31,normal
496,720,event
304,821,event
36,28,normal
12,632,bulking
17,525,bulking
6,508,bulking
10,438,bulking
14,585,bulking
422,912,event
260,516,event
377,974,event
295,712,event
42,52,normal
20,775,bulking
36,34,normal
5,407,bulking
84,6,normal
461,795,event
73,36,normal
93,6,normal
384,564,event
93,15,normal
17,747,bulking
14,807,bulking
275,690,event
18,446,bulking
8,457,bulking
98,75,normal
12,939,bulking
31,60,normal
479,946,event
10,995,bulking
195,877,event
449,819,event
60,40,normal
215,489,event
14,629,bulking
400,809,event
10,910,bulking
299,684,event
6,964,bulking
404,931,event
52,36,normal
71,25,normal
18,533,bulking
163,701,event
218,719,event
71,21,normal
69,90,normal
44,37,normal
85,59,normal
39,94,normal
385,609,event
59,20,normal
69,96,normal
18,801,bulking
10,796,bulking
47,48,normal
10,400,bulking
7,634,bulking
19,907,bulking
261,448,event
53,40,normal
11,626,bulking
423,723,event
14,821,bulking
98,22,normal
71,97,normal
8,658,bulking
9,912,bulking
9,955,bulking
92,85,normal
82,71,normal
9,553,bulking
480,547,event
210,542,event
39,57,normal
13,100,normal
244,462,event
450,949,event
70,7,normal
367,556,event
282,775,event
7,773,bulking
179,494,event
18,589,bulking
9,795,bulking
98,21,normal
247,571,event
18,573,bulking
69,56,normal
16,664,bulking
71,84,normal
22,71,normal
20,498,bulking
153,483,event
84,37,normal
163,653,event
7,409,bulking
41,12,normal
441,660,event
499,875,event
276,682,event
13,94,normal
8,931,bulking
15,90,normal
5,576,bulking
37,62,normal
68,69,normal
32,67,normal
486,414,event
11,901,bulking
227,819,event
14,411,bulking
18,72,normal
14,845,bulking
27,41,normal
443,409,event
467,741,event
82,34,normal
8,471,bulking
462,517,event
161,414,event
7,856,bulking
14,729,bulking
15,652,bulking
17,489,bulking
417,834,event
84,6,normal
18,917,bulking
56,74,normal
99,48,normal
12,562,bulking
16,904,bulking
294,400,event
53,93,normal
17,71,normal
15,464,bulking
12,993,bulking
9,918,bulking
387,859,event
7,855,bulking
61,99,normal
13,792,bulking
303,745,event
164,505,event
60,97,normal
315,949,event
18,808,bulking
67,91,normal
16,655,bulking
51,28,normal
200,624,event
268,450,event
86,97,normal
401,910,event
5,600,bulking
14,925,bulking
363,410,event
42,12,normal
175,556,event
50,70,normal
88,50,normal
18,424,bulking
487,412,event
38,58,normal
11,704,bulking
13,616,bulking
7,572,bulking
475,578,event
43,58,normal
79,54,normal
6,812,bulking
9,632,bulking
17,438,bulking
205,468,event
332,531,event
150,953,event
197,627,event
376,526,event
14,400,bulking
32,31,normal
460,960,event
15,418,bulking
8,715,bulking
99,43,normal
14,461,bulking
53,68,normal
162,966,event
7,433,bulking
411,748,event
174,830,event
11,494,bulking
464,900,event
408,791,event
12,477,bulking
301,759,event
16,619,bulking
210,615,event
495,688,event
490,400,event
44,21,normal
36,43,normal
375,658,event
309,974,event
354,669,event
17,498,bulking
14,479,bulking
13,64,normal
286,726,event
11,905,bulking
5,768,bulking
258,835,event
51,50,normal
9,628,bulking
12,68,normal
261,624,event
71,80,normal
438,576,event
11,473,bulking
9,963,bulking
14,80,normal
81,42,normal
222,840,event
19,804,bulking
5,544,bulking
16,576,bulking
378,560,event
300,973,event
6,544,bulking
97,34,normal
155,828,event
17,844,bulking
260,643,event
16,23,normal
97,52,normal
469,424,event
489,695,event
74,23,normal
205,921,event
30,94,normal
37,27,normal
45,11,normal
5,651,bulking
96,28,normal
11,964,bulking
18,17,normal
14,542,bulking
80,29,normal
31,100,normal
71,63,normal
100,28,normal
37,70,normal
18,97,normal
17,468,bulking
344,694,event
499,916,event
19,741,bulking
361,770,event
69,86,normal
23,37,normal
19,868,bulking
402,529,event
20,946,bulking
227,533,event
10,52,normal
157,488,event
388,755,event
12,63,normal
183,936,event
156,617,event
10,793,bulking
6,887,bulking
9,469,bulking
16,641,bulking
14,950,bulking
19,614,bulking
5,616,bulking
30,60,normal
16,987,bulking
431,581,event
177,428,event
398,728,event
74,65,normal
5,844,bulking
202,628,event
216,536,event
347,555,event
10,436,bulking
5,650,bulking
53,31,normal
24,39,normal
11,850,bulking
14,924,bulking
56,27,normal
385,699,event
27,24,normal
89,15,normal
224,719,event
16,593,bulking
10,814,bulking
16,892,bulking
56,8,normal
58,42,normal
260,609,event
157,446,event
16,854,bulking
431,496,event
9,652,bulking
6,875,bulking
19,490,bulking
252,949,event
18,848,bulking
468,558,event
14,21,normal
44,35,normal
426,902,event
46,32,normal
396,540,event
336,762,event
90,46,normal
11,23,normal
45,37,normal
73,24,normal
270,653,event
17,836,bulking
71,64,normal
10,678,bulking
18,44,normal
20,772,bulking
14,457,bulking
7,622,bulking
333,801,event
398,809,event
267,989,event
5,428,bulking
6,474,bulking
95,58,normal
267,593,event
171,790,event
10,18,normal
14,450,bulking
24,43,normal
232,874,event
23,7,normal
19,676,bulking
71,77,normal
329,810,event
484,995,event
260,477,event
7,638,bulking
62,93,normal
12,521,bulking
20,440,bulking
7,883,bulking
62,5,normal
14,612,bulking
17,856,bulking
19,895,bulking
71,36,normal
153,823,event
183,630,event
180,834,event
406,556,event
12,550,bulking
329,578,event
60,61,normal
466,978,event
452,691,event
80,61,normal
319,597,event
250,746,event
5,532,bulking
30,36,normal
20,548,bulking
244,441,event
68,99,normal
18,899,bulking
33,49,normal
14,484,bulking
356,539,event
196,688,event
20,577,bulking
18,516,bulking
95,73,normal
54,84,normal
16,504,bulking
49,76,normal
485,1000,event
6,965,bulking
14,768,bulking
242,422,event
21,55,normal
69,74,normal
13,52,normal
17,25,normal
14,564,bulking
255,717,event
80,37,normal
